code_commune,annee,emploi_total,emploi_moins_25,emploi_25_49,emploi_50_plus
33231,2022,15,0,10,5
33232,2022,0,0,0,0
33233,2022,220,35,125,60
33234,2022,220,20,135,65
33235,2022,10,5,5,5
33236,2022,625,70,320,235
33237,2022,60,5,30,25
33238,2022,650,75,395,180
33239,2022,50,5,20,25
33240,2022,685,100,390,200
33241,2022,55,5,35,20
33242,2022,55,5,25,20
33243,2022,2540,325,1530,685
33244,2022,25,5,10,10
33245,2022,50,0,25,20
33246,2022,15,5,5,5
33247,2022,5,0,5,0
33248,2022,215,25,135,55
33249,2022,2795,395,1745,655
33250,2022,25,5,15,10
33251,2022,55,5,30,20
33252,2022,60,5,40,15
33253,2022,85,10,50,25
33254,2022,35,5,20,10
33255,2022,20,0,10,5
33256,2022,290,35,160,95
33257,2022,35,5,20,10
33258,2022,30,0,20,10
33259,2022,95,15,60,20
33260,2022,75,10,45,20
33261,2022,105,15,50,35
33262,2022,290,30,190,70
33263,2022,15,5,5,5
33264,2022,100,20,50,35
33266,2022,50,5,30,20
33268,2022,200,25,125,55
33269,2022,35,10,10,15
33270,2022,15,0,5,5
33271,2022,10,0,10,5
33272,2022,75,10,40,30
33273,2022,425,60,265,105
33274,2022,180,20,100,55
33275,2022,5,0,0,0
33276,2022,10,0,5,0
33277,2022,25,0,20,5
33278,2022,20,0,10,5
33279,2022,35,5,25,10
33280,2022,55,5,40,15
33281,2022,5635,675,3590,1370
33282,2022,15,0,10,5
33283,2022,20,0,10,5
33284,2022,680,80,410,190
33285,2022,30,0,20,10
33287,2022,45,5,35,10
33288,2022,20,5,10,5
33289,2022,130,15,70,45
33290,2022,125,25,70,35
33291,2022,15,0,5,5
33292,2022,10,0,5,0
33293,2022,225,25,145,55
33294,2022,45,5,25,15
33295,2022,5,0,5,5
33296,2022,120,10,70,35
33297,2022,150,15,90,45
33298,2022,70,5,40,20
33299,2022,25,0,15,10
33300,2022,115,10,60,45
33301,2022,40,5,25,10
33302,2022,25,0,10,10
33303,2022,60,5,30,25
33304,2022,10,0,5,5
33305,2022,35,5,20,10
33306,2022,35,0,25,10
33307,2022,140,10,75,55
33308,2022,20,5,10,5
33309,2022,50,10,25,10
33310,2022,15,5,10,5
33311,2022,105,10,75,20
33312,2022,740,100,450,190
33314,2022,650,75,380,195
33315,2022,135,15,75,45
33316,2022,110,10,65,30
33317,2022,85,15,45,25
33318,2022,4185,580,2515,1095
33319,2022,45,5,25,15
33320,2022,85,10,40,35
33321,2022,140,20,85,35
33322,2022,400,40,245,115
33323,2022,55,10,35,15
33324,2022,395,60,215,120
33325,2022,65,5,35,25
33326,2022,15,0,5,10
33327,2022,240,35,140,65
33328,2022,50,10,25,15
33329,2022,15,0,5,5
33330,2022,175,20,100,55
33331,2022,35,5,15,20
33332,2022,85,10,45,30
33333,2022,280,30,165,85
33334,2022,165,15,105,45
33335,2022,30,5,15,10
33336,2022,105,5,65,35
33337,2022,205,30,115,60
33339,2022,110,15,65,30
33341,2022,170,15,105,50
33342,2022,45,5,30,10
33343,2022,65,5,45,20
33344,2022,40,5,25,10
33345,2022,30,5,15,10
33346,2022,30,5,15,10
33347,2022,20,0,5,15
33348,2022,150,25,85,40
33349,2022,115,5,80,30
33350,2022,100,10,55,35
33351,2022,190,25,115,45
33352,2022,555,65,345,145
33353,2022,15,0,10,5
33354,2022,10,0,5,5
33355,2022,125,10,80,35
33356,2022,35,0,30,5
33357,2022,110,10,70,30
33358,2022,35,5,20,10
33359,2022,25,5,15,5
33360,2022,25,5,10,5
33361,2022,40,5,20,20
33362,2022,105,15,60,35
33363,2022,270,30,175,65
33364,2022,35,5,15,10
33365,2022,15,5,5,5
33366,2022,1025,120,670,235
33367,2022,25,0,20,5
33369,2022,40,5,30,10
33370,2022,55,5,30,20
33372,2022,5,0,5,0
33373,2022,50,5,25,20
33374,2022,90,15,55,25
33375,2022,25,5,15,10
33376,2022,385,45,215,125
33377,2022,5,0,5,0
33378,2022,125,20,70,35
33379,2022,15,5,5,5
33380,2022,170,30,100,45
33381,2022,220,25,135,55
33382,2022,170,20,90,60
33383,2022,25,5,15,10
33384,2022,35,5,20,15
33385,2022,50,5,30,15
33386,2022,10,0,5,0
33387,2022,160,15,105,35
33388,2022,50,10,30,15
33389,2022,310,40,185,85
33390,2022,35,5,25,5
33391,2022,20,0,10,5
33392,2022,75,10,45,20
33393,2022,475,70,275,135
33394,2022,185,15,110,60
33395,2022,200,25,115,60
33396,2022,20,5,10,5
33397,2022,330,40,205,80
33398,2022,15,0,10,0
33399,2022,25,0,10,10
33400,2022,30,5,15,10
33401,2022,10,0,5,0
33402,2022,435,45,240,150
33403,2022,10,5,5,0
33404,2022,15,0,5,5
33405,2022,35,5,15,15
33406,2022,20,0,10,5
33407,2022,70,15,35,20
33408,2022,25,5,10,5
33411,2022,10,0,5,0
33412,2022,105,20,55,35
33413,2022,150,15,80,55
33414,2022,30,5,15,10
33415,2022,125,15,70,40
33416,2022,80,5,45,25
33417,2022,185,30,100,55
33418,2022,35,5,25,10
33419,2022,15,5,10,5
33420,2022,10,0,5,5
33421,2022,35,0,20,10
33422,2022,545,70,330,150
33423,2022,50,10,30,10
33424,2022,405,45,245,115
33425,2022,105,20,70,20
33426,2022,10,0,5,5
33427,2022,20,0,15,5
33428,2022,10,0,5,5
33429,2022,25,5,15,5
33431,2022,20,0,10,5
33432,2022,15,0,10,0
33433,2022,720,90,435,195
33434,2022,185,20,115,50
33435,2022,175,30,95,50
33436,2022,85,5,55,25
33437,2022,190,35,95,65
