code_commune,commune,inscrits,abstentions,votants,blancs,nuls,exprimes,annee,taux_abstention
62407,Ham-En-Artois,815,125,690,18,4,668,2017,15.337423312883436
62408,Hames-Boucres,1018,164,854,12,6,836,2017,16.110019646365423
62409,Hannescamps,145,15,130,2,2,126,2017,10.344827586206897
62410,Haplincourt,169,33,136,1,0,135,2017,19.526627218934912
62411,Haravesnes,33,3,30,0,2,28,2017,9.090909090909092
62412,Hardinghen,893,196,697,18,7,672,2017,21.948488241881297
62413,Harnes,8796,2150,6646,121,49,6476,2017,24.442928603910868
62414,Haucourt,187,26,161,7,0,154,2017,13.903743315508022
62415,Haute-Avesnes,333,38,295,1,3,291,2017,11.411411411411411
62416,Hautecloque,168,24,144,1,4,139,2017,14.285714285714285
62418,Hauteville,235,32,203,2,0,201,2017,13.617021276595745
62419,Haut-Loquin,115,25,90,0,1,89,2017,21.73913043478261
62421,Havrincourt,278,42,236,2,1,233,2017,15.107913669064748
62422,Hébuterne,423,82,341,7,0,334,2017,19.38534278959811
62423,Helfaut,1268,165,1103,21,8,1074,2017,13.012618296529968
62424,Hendecourt-Lès-Cagnicourt,240,34,206,4,0,202,2017,14.166666666666666
62425,Hendecourt-Lès-Ransart,105,13,92,3,0,89,2017,12.380952380952381
62426,Héninel,154,17,137,2,1,134,2017,11.03896103896104
62427,Hénin-Beaumont,18853,4841,14012,214,113,13685,2017,25.67761099029332
62428,Hénin-Sur-Cojeul,414,40,374,8,3,363,2017,9.66183574879227
62429,Henneveux,247,35,212,0,5,207,2017,14.17004048582996
62430,Hénu,125,26,99,2,0,97,2017,20.8
62432,Herbinghen,307,43,264,5,2,257,2017,14.006514657980457
62433,Héricourt,82,8,74,1,1,72,2017,9.75609756097561
62434,La Herlière,115,21,94,2,0,92,2017,18.26086956521739
62435,Herlincourt,99,9,90,4,0,86,2017,9.090909090909092
62436,Herlin-Le-Sec,104,12,92,3,0,89,2017,11.538461538461538
62437,Herly,252,57,195,0,2,193,2017,22.61904761904762
62438,Hermaville,458,53,405,13,1,391,2017,11.572052401746726
62439,Hermelinghen,250,35,215,0,2,213,2017,14.000000000000002
62440,Hermies,859,194,665,11,2,652,2017,22.58440046565774
62441,Hermin,188,22,166,2,0,164,2017,11.702127659574469
62442,Hernicourt,405,56,349,3,8,338,2017,13.82716049382716
62443,Hersin-Coupigny,4743,1012,3731,63,39,3629,2017,21.33670672570103
62444,Hervelinghen,217,52,165,1,2,162,2017,23.963133640552993
62445,Hesdigneul-Lès-Béthune,653,91,562,10,5,547,2017,13.935681470137826
62446,Hesdigneul-Lès-Boulogne,569,121,448,2,8,438,2017,21.26537785588752
62447,Hesdin,1667,563,1104,18,13,1073,2017,33.77324535092981
62448,Hesdin-L'Abbé,1398,173,1225,19,10,1196,2017,12.374821173104435
62449,Hesmond,148,23,125,4,0,121,2017,15.54054054054054
62450,Hestrus,189,28,161,0,0,161,2017,14.814814814814813
62451,Heuchin,363,58,305,7,5,293,2017,15.977961432506888
62452,Heuringhem,1141,130,1011,10,27,974,2017,11.393514460999125
62453,Hézecques,85,20,65,0,1,64,2017,23.52941176470588
62454,Hinges,1802,243,1559,17,12,1530,2017,13.485016648168703
62455,Hocquinghen,88,19,69,1,0,68,2017,21.59090909090909
62456,Houchin,592,79,513,5,6,502,2017,13.344594594594595
62457,Houdain,5362,1177,4185,72,45,4068,2017,21.950764640059678
62458,Houlle,785,97,688,15,8,665,2017,12.356687898089172
62459,Houvin-Houvigneul,191,25,166,2,2,162,2017,13.089005235602095
62460,Hubersent,197,24,173,2,1,170,2017,12.18274111675127
62461,Huby-Saint-Leu,601,133,468,8,4,456,2017,22.129783693843592
62462,Huclier,95,9,86,4,1,81,2017,9.473684210526317
62463,Hucqueliers,378,60,318,4,2,312,2017,15.873015873015872
62464,Hulluch,2624,585,2039,45,22,1972,2017,22.29420731707317
62465,Humbercamps,183,29,154,9,2,143,2017,15.846994535519126
62466,Humbert,184,19,165,7,0,158,2017,10.326086956521738
62467,Humeroeuille,121,23,98,0,0,98,2017,19.00826446280992
62468,Humières,207,26,181,5,1,175,2017,12.560386473429952
62469,Inchy-En-Artois,436,91,345,7,2,336,2017,20.871559633027523
62470,Incourt,64,8,56,1,2,53,2017,12.5
62471,Bellinghem,807,83,724,14,8,702,2017,10.285006195786865
62472,Inxent,147,32,115,2,1,112,2017,21.768707482993197
62473,Isbergues,7316,1857,5459,121,73,5265,2017,25.382722799343902
62474,Isques,933,125,808,14,3,791,2017,13.39764201500536
62475,Ivergny,187,19,168,1,3,164,2017,10.16042780748663
62476,Izel-Lès-Equerchin,808,116,692,4,15,673,2017,14.356435643564355
62477,Izel-Lès-Hameau,575,84,491,6,5,480,2017,14.608695652173914
62478,Journy,206,26,180,5,0,175,2017,12.62135922330097
62479,Labeuvrière,1247,194,1053,18,8,1027,2017,15.557337610264636
62480,Labourse,2056,387,1669,38,15,1616,2017,18.82295719844358
62481,Labroye,127,12,115,5,0,110,2017,9.448818897637794
62483,Lacres,179,30,149,3,2,144,2017,16.75977653631285
62484,Lagnicourt-Marcel,258,37,221,7,0,214,2017,14.34108527131783
62485,Laires,241,36,205,5,3,197,2017,14.937759336099585
62486,Lambres,777,125,652,12,7,633,2017,16.08751608751609
62487,Landrethun-Le-Nord,874,119,755,18,2,735,2017,13.615560640732266
62488,Landrethun-Lès-Ardres,560,65,495,5,2,488,2017,11.607142857142858
62489,Lapugnoy,2805,613,2192,35,17,2140,2017,21.853832442067738
62490,Lattre-Saint-Quentin,200,29,171,2,1,168,2017,14.499999999999998
62491,Laventie,3948,669,3279,59,25,3195,2017,16.945288753799392
62492,Lebiez,179,38,141,1,0,140,2017,21.22905027932961
62493,Lebucquière,193,40,153,1,2,150,2017,20.72538860103627
62494,Léchelle,48,7,41,1,1,39,2017,14.583333333333334
62495,Ledinghem,237,45,192,5,0,187,2017,18.9873417721519
62496,Lefaux,215,32,183,1,0,182,2017,14.883720930232558
62497,Leforest,5267,1186,4081,76,39,3966,2017,22.517562179608884
62498,Lens,23278,7503,15775,294,167,15314,2017,32.232150528395906
62499,Lépine,243,33,210,3,1,206,2017,13.580246913580247
62500,Lespesses,333,41,292,7,6,279,2017,12.312312312312311
62501,Lespinoy,174,17,157,3,0,154,2017,9.770114942528735
62502,Lestrem,3482,574,2908,57,13,2838,2017,16.484778862722575
62503,Leubringhen,244,24,220,4,0,216,2017,9.836065573770492
62504,Leulinghem,168,12,156,3,1,152,2017,7.142857142857142
62505,Leulinghen-Bernes,333,34,299,7,3,289,2017,10.21021021021021
62506,Licques,1243,211,1032,26,5,1001,2017,16.975060337892195
62507,Liencourt,231,41,190,5,0,185,2017,17.74891774891775
62508,Lières,284,39,245,7,2,236,2017,13.732394366197184
62509,Liettres,220,18,202,4,1,197,2017,8.181818181818182
62510,Liévin,21278,5714,15564,287,100,15177,2017,26.85402763417614
62511,Lignereuil,100,21,79,5,0,74,2017,21.0
62512,Ligny-Lès-Aire,484,92,392,7,2,383,2017,19.00826446280992
62513,Ligny-Sur-Canche,165,31,134,0,0,134,2017,18.787878787878785
62514,Ligny-Saint-Flochel,192,25,167,8,2,157,2017,13.020833333333334
62515,Ligny-Thilloy,465,69,396,8,7,381,2017,14.838709677419354
62516,Lillers,6490,1241,5249,69,74,5106,2017,19.12172573189522
62517,Linghem,206,33,173,3,0,170,2017,16.019417475728158
62518,Linzeux,122,11,111,0,0,111,2017,9.01639344262295
62519,Lisbourg,484,76,408,4,5,399,2017,15.702479338842975
62520,Locon,1987,305,1682,20,11,1651,2017,15.349773527931553
62521,La Loge,169,27,142,5,1,136,2017,15.976331360946746
62522,Loison-Sur-Créquoise,220,31,189,2,3,184,2017,14.09090909090909
62523,Loison-Sous-Lens,3782,764,3018,62,34,2922,2017,20.200951877313592
62524,Longfossé,1097,177,920,22,2,896,2017,16.134913400182317
62525,Longuenesse,7065,1421,5644,69,70,5505,2017,20.113234253361643
62526,Longueville,105,10,95,0,5,90,2017,9.523809523809524
62527,Longvilliers,180,26,154,3,0,151,2017,14.444444444444443
62528,Loos-En-Gohelle,5397,1179,4218,97,42,4079,2017,21.845469705391885
62529,Lorgies,1276,216,1060,14,8,1038,2017,16.927899686520377
62530,Lottinghen,388,32,356,3,4,349,2017,8.24742268041237
62531,Louches,694,117,577,6,3,568,2017,16.85878962536023
62532,Lozinghem,915,147,768,9,8,751,2017,16.065573770491802
62533,Lugy,122,20,102,6,0,96,2017,16.39344262295082
62534,Lumbres,2683,475,2208,44,23,2141,2017,17.704062616474094
62535,La Madelaine-Sous-Montreuil,146,27,119,1,1,117,2017,18.493150684931507
62536,Magnicourt-En-Comte,504,106,398,9,2,387,2017,21.03174603174603
62537,Magnicourt-Sur-Canche,100,18,82,1,1,80,2017,18.0
62538,Maintenay,315,46,269,3,1,265,2017,14.603174603174605
62539,Maisnil,195,26,169,1,1,167,2017,13.333333333333334
62540,Maisnil-Lès-Ruitz,1176,184,992,15,9,968,2017,15.646258503401361
62541,Maisoncelle,101,11,90,0,2,88,2017,10.891089108910892
62542,Maizières,157,26,131,1,0,130,2017,16.560509554140125
62543,Mametz,1512,201,1311,21,7,1283,2017,13.293650793650794
62544,Manin,134,12,122,6,2,114,2017,8.955223880597014
62545,Maninghem,106,7,99,2,2,95,2017,6.60377358490566
62546,Maninghen-Henne,275,32,243,1,2,240,2017,11.636363636363637
62547,Marant,65,10,55,0,1,54,2017,15.384615384615385
62548,Marck,7918,1577,6341,133,72,6136,2017,19.916645617580198
62549,Marconne,853,167,686,13,3,670,2017,19.577960140679952
62550,Marconnelle,936,218,718,28,8,682,2017,23.29059829059829
62551,Marenla,192,19,173,3,2,168,2017,9.895833333333332
62552,Maresquel-Ecquemicourt,784,168,616,13,2,601,2017,21.428571428571427
62553,Marest,247,27,220,3,2,215,2017,10.931174089068826
62554,Maresville,75,7,68,1,0,67,2017,9.333333333333334
62555,Marles-Les-Mines,3927,971,2956,55,35,2866,2017,24.726254138018845
62556,Marles-Sur-Canche,237,28,209,9,0,200,2017,11.814345991561181
62557,Maroeuil,2215,338,1877,25,13,1839,2017,15.259593679458238
62558,Marquay,135,8,127,0,1,126,2017,5.9259259259259265
62559,Marquion,767,166,601,16,2,583,2017,21.642764015645373
62560,Marquise,3778,846,2932,36,29,2867,2017,22.3928004235045
62561,Martinpuich,157,16,141,1,4,136,2017,10.191082802547772
62562,Matringhem,140,18,122,6,3,113,2017,12.857142857142856
62563,Mazingarbe,5564,1511,4053,80,25,3948,2017,27.15672178289001
62564,Mazinghem,348,50,298,2,2,294,2017,14.367816091954023
62565,Mencas,67,6,61,1,0,60,2017,8.955223880597014
62566,Menneville,526,49,477,5,6,466,2017,9.315589353612168
62567,Mentque-Nortbécourt,466,56,410,13,7,390,2017,12.017167381974248
62568,Mercatel,488,55,433,10,1,422,2017,11.270491803278688
62569,Merck-Saint-Liévin,440,58,382,6,2,374,2017,13.18181818181818
62570,Méricourt,8891,2501,6390,121,45,6224,2017,28.129569227308515
62571,Merlimont,2862,455,2407,37,11,2359,2017,15.897973445143258
62572,Metz-En-Couture,504,108,396,5,1,390,2017,21.428571428571427
62573,Meurchin,2919,698,2221,41,18,2162,2017,23.912298732442615
62574,Mingoval,168,12,156,3,6,147,2017,7.142857142857142
62576,Moncheaux-Lès-Frévent,93,15,78,0,1,77,2017,16.129032258064516
62577,Monchel-Sur-Canche,62,10,52,0,0,52,2017,16.129032258064516
62578,Monchiet,91,6,85,2,2,81,2017,6.593406593406594
62579,Monchy-Au-Bois,408,44,364,8,3,353,2017,10.784313725490197
62580,Monchy-Breton,321,40,281,5,3,273,2017,12.461059190031152
62581,Monchy-Cayeux,225,34,191,1,2,188,2017,15.11111111111111
62582,Monchy-Le-Preux,519,88,431,7,1,423,2017,16.955684007707127
62583,Mondicourt,434,62,372,2,6,364,2017,14.285714285714285
62584,Mont-Bernanchon,1159,221,938,14,7,917,2017,19.06816220880069
62585,Montcavrel,304,48,256,7,2,247,2017,15.789473684210526
62586,Montenescourt,368,47,321,15,1,305,2017,12.771739130434783
62587,Montigny-En-Gohelle,6409,1639,4770,93,33,4644,2017,25.57341238882821
62588,Montreuil,1530,326,1204,32,7,1165,2017,21.30718954248366
62589,Mont-Saint-Eloi,830,101,729,19,7,703,2017,12.168674698795181
62590,Monts-En-Ternois,41,5,36,6,0,30,2017,12.195121951219512
62591,Morchies,139,26,113,2,0,111,2017,18.705035971223023
62592,Moringhem,394,49,345,6,5,334,2017,12.436548223350254
62593,Morval,80,9,71,2,1,68,2017,11.25
62594,Mory,263,52,211,4,2,205,2017,19.771863117870723
62595,Moulle,867,121,746,20,4,722,2017,13.956170703575548
62596,Mouriez,207,25,182,2,3,177,2017,12.077294685990339
62597,Moyenneville,209,29,180,5,2,173,2017,13.875598086124402
62598,Muncq-Nieurlet,520,95,425,6,3,416,2017,18.269230769230766
62599,Nabringhen,166,26,140,1,2,137,2017,15.66265060240964
62600,Nédon,129,14,115,0,0,115,2017,10.852713178294573
62601,Nédonchel,136,21,115,1,2,112,2017,15.441176470588236
62602,Nempont-Saint-Firmin,158,39,119,2,1,116,2017,24.68354430379747
62603,Nesles,736,135,601,9,5,587,2017,18.342391304347828
62604,Neufchâtel-Hardelot,3484,636,2848,35,13,2800,2017,18.2548794489093
62605,Neulette,33,6,27,0,0,27,2017,18.181818181818183
62606,Neuve-Chapelle,1124,159,965,16,7,942,2017,14.145907473309608
62607,Neuville-Au-Cornet,55,9,46,2,1,43,2017,16.363636363636363
62608,Neuville-Bourjonval,144,28,116,1,0,115,2017,19.444444444444446
62609,Neuville-Saint-Vaast,1230,135,1095,21,8,1066,2017,10.975609756097562
62610,Neuville-Sous-Montreuil,441,69,372,0,1,371,2017,15.646258503401361
62611,Neuville-Vitasse,406,54,352,5,2,345,2017,13.30049261083744
62612,Neuvireuil,448,33,415,12,2,401,2017,7.366071428571429
62613,Nielles-Lès-Bléquin,683,134,549,15,4,530,2017,19.619326500732065
62614,Nielles-Lès-Ardres,448,39,409,4,1,404,2017,8.705357142857142
62615,Nielles-Lès-Calais,210,25,185,2,1,182,2017,11.904761904761903
62616,Noeux-Lès-Auxi,161,32,129,3,0,126,2017,19.875776397515526
62617,Noeux-Les-Mines,8610,2119,6491,139,63,6289,2017,24.610917537746808
62618,Nordausques,789,85,704,8,3,693,2017,10.773130544993663
62619,Noreuil,117,16,101,2,0,99,2017,13.675213675213676
62620,Norrent-Fontes,1124,182,942,17,7,918,2017,16.19217081850534
62621,Nortkerque,1155,131,1024,23,8,993,2017,11.341991341991342
62622,Nort-Leulinghem,164,23,141,8,2,131,2017,14.02439024390244
62623,Nouvelle-Eglise,442,53,389,1,8,380,2017,11.990950226244344
62624,Noyelles-Godault,3942,901,3041,52,19,2970,2017,22.856418061897514
62625,Noyelles-Lès-Humières,48,7,41,2,0,39,2017,14.583333333333334
62626,Noyelles-Lès-Vermelles,1603,285,1318,30,14,1274,2017,17.779164067373674
62627,Noyelles-Sous-Bellonne,594,69,525,6,1,518,2017,11.616161616161616
62628,Noyelles-Sous-Lens,4854,1324,3530,43,30,3457,2017,27.27647301194891
62629,Noyellette,124,14,110,1,0,109,2017,11.29032258064516
62630,Noyelle-Vion,227,27,200,5,1,194,2017,11.894273127753303
62631,Nuncq-Hautecôte,324,44,280,3,1,276,2017,13.580246913580247
62632,Oblinghem,247,37,210,4,3,203,2017,14.979757085020243
62633,Oeuf-En-Ternois,198,23,175,2,4,169,2017,11.616161616161616
62634,Offekerque,877,144,733,10,2,721,2017,16.419612314709237
62635,Offin,184,30,154,3,2,149,2017,16.304347826086957
62636,Offrethun,219,21,198,1,3,194,2017,9.58904109589041
62637,Oignies,7051,1870,5181,122,51,5008,2017,26.521060842433698
62638,Oisy-Le-Verger,980,220,760,13,9,738,2017,22.448979591836736
62639,Oppy,318,39,279,9,1,269,2017,12.264150943396226
62640,Orville,284,45,239,1,2,236,2017,15.845070422535212
62641,Ostreville,206,38,168,0,2,166,2017,18.446601941747574
62642,Ourton,556,83,473,8,3,462,2017,14.928057553956833
62643,Outreau,10699,2783,7916,51,146,7719,2017,26.011776801570242
62644,Ouve-Wirquin,406,81,325,9,4,312,2017,19.950738916256157
62645,Oye-Plage,4336,895,3441,50,67,3324,2017,20.641143911439112
62646,Palluel,475,84,391,10,1,380,2017,17.684210526315788
62647,Le Parcq,567,76,491,11,2,478,2017,13.403880070546737
62648,Parenty,366,46,320,2,1,317,2017,12.568306010928962
62649,Pas-En-Artois,629,102,527,12,2,513,2017,16.216216216216218
62650,Pelves,589,84,505,9,2,494,2017,14.261460101867574
62651,Penin,330,43,287,6,3,278,2017,13.030303030303031
62652,Pernes,1213,227,986,25,13,948,2017,18.713932399010716
62653,Pernes-Lès-Boulogne,336,33,303,4,1,298,2017,9.821428571428571
62654,Peuplingues,541,58,483,6,0,477,2017,10.720887245841034
62655,Pierremont,232,22,210,6,0,204,2017,9.482758620689655
62656,Pihem,754,117,637,11,6,620,2017,15.517241379310345
62657,Pihen-Lès-Guînes,360,30,330,1,4,325,2017,8.333333333333332
62658,Pittefaux,120,17,103,2,0,101,2017,14.166666666666666
62659,Planques,74,14,60,0,0,60,2017,18.91891891891892
62660,Plouvain,399,52,347,1,12,334,2017,13.032581453634084
62661,Bouin-Plumoison,381,54,327,8,6,313,2017,14.173228346456693
62662,Polincove,629,83,546,12,3,531,2017,13.195548489666137
62663,Pommera,225,39,186,2,0,184,2017,17.333333333333336
62664,Pommier,191,18,173,5,2,166,2017,9.424083769633508
62665,Le Ponchel,184,25,159,7,2,150,2017,13.586956521739129
62666,Pont-À-Vendin,2358,592,1766,33,14,1719,2017,25.10602205258694
62667,Le Portel,6840,1719,5121,76,40,5005,2017,25.13157894736842
62668,Prédefin,143,22,121,3,0,118,2017,15.384615384615385
62669,Pressy,246,38,208,5,1,202,2017,15.447154471544716
62670,Preures,454,61,393,5,6,382,2017,13.43612334801762
62671,Pronville,211,32,179,4,0,175,2017,15.165876777251185
62672,Puisieux,485,71,414,6,6,402,2017,14.63917525773196
62673,Quéant,520,101,419,8,5,406,2017,19.423076923076923
62674,Quelmes,437,63,374,7,2,365,2017,14.416475972540047
62675,Quercamps,195,31,164,5,0,159,2017,15.897435897435896
62676,Quernes,381,61,320,7,3,310,2017,16.010498687664043
62677,Le Quesnoy-En-Artois,281,65,216,1,3,212,2017,23.131672597864767
62678,Quesques,502,62,440,12,8,420,2017,12.350597609561753
62679,Questrecques,273,32,241,0,10,231,2017,11.72161172161172
62680,Quiéry-La-Motte,548,55,493,11,0,482,2017,10.036496350364963
62681,Quiestède,492,69,423,11,7,405,2017,14.02439024390244
62682,Quilen,44,2,42,1,0,41,2017,4.545454545454546
62683,Quoeux-Haut-Maînil,182,22,160,2,1,157,2017,12.087912087912088
62684,Racquinghem,1879,387,1492,26,8,1458,2017,20.596061734965406
62685,Radinghem,186,22,164,5,3,156,2017,11.827956989247312
62686,Ramecourt,278,42,236,10,2,224,2017,15.107913669064748
62688,Rang-Du-Fliers,3414,689,2725,56,23,2646,2017,20.181605155243115
62689,Ransart,306,46,260,1,6,253,2017,15.032679738562091
62690,Raye-Sur-Authie,184,25,159,3,3,153,2017,13.586956521739129
62691,Saint-Augustin,619,60,559,9,5,545,2017,9.693053311793214
62692,Rebergues,226,25,201,1,3,197,2017,11.061946902654867
62693,Rebreuve-Ranchicourt,943,145,798,17,4,777,2017,15.37645811240721
62694,Rebreuve-Sur-Canche,175,30,145,2,2,141,2017,17.142857142857142
62695,Rebreuviette,213,31,182,4,0,178,2017,14.553990610328638
62696,Reclinghem,164,22,142,1,2,139,2017,13.414634146341465
62697,Récourt,172,30,142,3,0,139,2017,17.441860465116278
62698,Recques-Sur-Course,223,35,188,3,2,183,2017,15.695067264573993
62699,Recques-Sur-Hem,470,58,412,10,1,401,2017,12.340425531914894
62700,Regnauville,177,13,164,7,3,154,2017,7.344632768361582
62701,Rely,344,66,278,6,4,268,2017,19.186046511627907
62702,Remilly-Wirquin,261,28,233,6,1,226,2017,10.727969348659004
62703,Rémy,261,27,234,5,1,228,2017,10.344827586206897
62704,Renty,513,101,412,10,4,398,2017,19.68810916179337
62705,Rety,1484,253,1231,31,10,1190,2017,17.048517520215633
62706,Richebourg,2142,329,1813,48,11,1754,2017,15.359477124183007
62708,Riencourt-Lès-Bapaume,25,1,24,0,0,24,2017,4.0
62709,Riencourt-Lès-Cagnicourt,215,39,176,2,0,174,2017,18.13953488372093
62710,Rimboval,117,17,100,5,3,92,2017,14.529914529914532
62711,Rinxent,2267,399,1868,32,16,1820,2017,17.600352889280988
62712,Rivière,956,122,834,10,2,822,2017,12.761506276150628
62713,Robecq,1080,150,930,18,9,903,2017,13.88888888888889
62714,Roclincourt,658,63,595,12,7,576,2017,9.574468085106384
62715,Rocquigny,235,51,184,0,2,182,2017,21.70212765957447
62716,Rodelinghem,377,48,329,7,1,321,2017,12.73209549071618
62717,Roëllecourt,464,78,386,9,2,375,2017,16.810344827586206
62718,Roeux,1079,181,898,18,6,874,2017,16.774791473586653
62719,Rollancourt,203,22,181,3,0,178,2017,10.83743842364532
62720,Rombly,40,5,35,1,0,34,2017,12.5
62721,Roquetoire,1595,235,1360,27,6,1327,2017,14.733542319749215
62722,Rougefay,83,17,66,1,0,65,2017,20.481927710843372
62723,Roussent,168,9,159,2,0,157,2017,5.357142857142857
62724,Rouvroy,6905,1699,5206,99,53,5054,2017,24.605358435916003
62725,Royon,119,17,102,3,0,99,2017,14.285714285714285
62726,Ruisseauville,145,13,132,0,2,130,2017,8.96551724137931
62727,Ruitz,1322,178,1144,20,9,1115,2017,13.464447806354011
62728,Rumaucourt,569,123,446,8,4,434,2017,21.616871704745165
62729,Rumilly,192,44,148,6,0,142,2017,22.916666666666664
62730,Ruminghem,1132,213,919,22,2,895,2017,18.81625441696113
62731,Ruyaulcourt,237,48,189,7,1,181,2017,20.253164556962027
62732,Sachin,254,27,227,1,0,226,2017,10.62992125984252
62733,Sailly-Au-Bois,201,34,167,1,2,164,2017,16.91542288557214
62734,Sailly-En-Ostrevent,546,79,467,9,1,457,2017,14.46886446886447
62735,Sailly-Labourse,1670,300,1370,28,4,1338,2017,17.964071856287426
62736,Sailly-Sur-La-Lys,3108,411,2697,45,11,2641,2017,13.223938223938225
62737,Sains-En-Gohelle,5031,1411,3620,97,37,3486,2017,28.046114092625718
62738,Sains-Lès-Fressin,120,17,103,0,3,100,2017,14.166666666666666
62739,Sains-Lès-Marquion,267,35,232,6,0,226,2017,13.108614232209737
62740,Sains-Lès-Pernes,230,40,190,8,2,180,2017,17.391304347826086
62741,Saint-Amand,108,14,94,0,0,94,2017,12.962962962962962
62742,Saint-Aubin,239,37,202,4,0,198,2017,15.481171548117153
62743,Sainte-Austreberthe,314,33,281,5,3,273,2017,10.509554140127388
62744,Sainte-Catherine,2488,355,2133,28,9,2096,2017,14.268488745980706
62745,Saint-Denoeux,113,15,98,0,2,96,2017,13.274336283185843
62746,Saint-Etienne-Au-Mont,4007,911,3096,48,21,3027,2017,22.735213376590966
62747,Saint-Floris,431,59,372,9,2,361,2017,13.68909512761021
62748,Saint-Folquin,1749,305,1444,28,8,1408,2017,17.438536306460833
62749,Saint-Georges,244,36,208,5,0,203,2017,14.754098360655737
62750,Saint-Hilaire-Cottes,643,97,546,16,4,526,2017,15.085536547433904
62751,Saint-Inglevert,534,47,487,6,2,479,2017,8.801498127340825
62752,Saint-Josse,954,145,809,20,2,787,2017,15.199161425576522
62753,Saint-Laurent-Blangy,4839,979,3860,86,33,3741,2017,20.231452779499897
62754,Saint-Léger,327,48,279,4,0,275,2017,14.678899082568808
62755,Saint-Léonard,2869,587,2282,49,13,2220,2017,20.46009062391077
62756,Sainte-Marie-Kerque,1151,160,991,25,9,957,2017,13.900955690703737
62757,Saint-Martin-Lez-Tatinghem,4980,1038,3942,59,58,3825,2017,20.843373493975903
62758,Saint-Martin-Boulogne,8824,1823,7001,109,72,6820,2017,20.65956482320943
62759,Saint-Martin-Choquel,345,35,310,15,0,295,2017,10.144927536231885
62760,Saint-Martin-D'Hardinghem,226,33,193,6,1,186,2017,14.601769911504425
62761,Saint-Martin-Sur-Cojeul,184,27,157,1,0,156,2017,14.673913043478262
62762,Saint-Michel-Sous-Bois,106,10,96,2,0,94,2017,9.433962264150944
62763,Saint-Michel-Sur-Ternoise,731,132,599,8,16,575,2017,18.057455540355676
62764,Saint-Nicolas,3438,772,2666,53,20,2593,2017,22.454915648632927
62765,Saint-Omer,9181,2486,6695,103,56,6536,2017,27.077660385578913
62766,Saint-Omer-Capelle,809,143,666,12,8,646,2017,17.676143386897404
62767,Saint-Pol-Sur-Ternoise,3480,876,2604,52,27,2525,2017,25.17241379310345
62768,Saint-Rémy-Au-Bois,90,12,78,2,1,75,2017,13.333333333333334
62769,Saint-Tricat,604,78,526,7,1,518,2017,12.91390728476821
62770,Saint-Venant,2216,363,1853,63,16,1774,2017,16.380866425992778
62771,Sallaumines,6812,1942,4870,101,50,4719,2017,28.50851438637698
62772,Salperwick,410,54,356,2,7,347,2017,13.170731707317074
62773,Samer,2926,518,2408,33,11,2364,2017,17.703349282296653
62774,Sangatte,3789,748,3041,57,24,2960,2017,19.741356558458698
62775,Sanghen,233,31,202,3,0,199,2017,13.304721030042918
62776,Sapignies,142,23,119,0,1,118,2017,16.19718309859155
62777,Le Sars,127,31,96,0,0,96,2017,24.409448818897637
62778,Sars-Le-Bois,63,6,57,3,2,52,2017,9.523809523809524
62779,Sarton,143,15,128,3,1,124,2017,10.48951048951049
62780,Sauchy-Cauchy,267,44,223,8,2,213,2017,16.479400749063668
62781,Sauchy-Lestrée,330,72,258,7,1,250,2017,21.818181818181817
62782,Saudemont,385,58,327,0,11,316,2017,15.064935064935064
62783,Saulchoy,228,46,182,6,0,176,2017,20.175438596491226
62784,Saulty,538,73,465,9,4,452,2017,13.568773234200743
62785,Savy-Berlette,765,119,646,12,2,632,2017,15.555555555555555
62786,Selles,244,38,206,5,4,197,2017,15.573770491803279
62787,Sempy,217,30,187,2,0,185,2017,13.82488479262673
62788,Seninghem,538,91,447,8,2,437,2017,16.91449814126394
62789,Senlecques,191,12,179,9,0,170,2017,6.282722513089005
62790,Senlis,129,18,111,2,0,109,2017,13.953488372093023
62791,Séricourt,41,6,35,1,0,34,2017,14.634146341463413
62792,Serques,958,148,810,22,11,777,2017,15.44885177453027
62793,Servins,800,97,703,14,2,687,2017,12.125
62794,Setques,443,43,400,9,5,386,2017,9.706546275395034
62795,Sibiville,93,16,77,1,1,75,2017,17.20430107526882
62796,Simencourt,430,42,388,7,5,376,2017,9.767441860465116
62797,Siracourt,240,36,204,5,1,198,2017,15.0
62798,Sombrin,186,18,168,7,1,160,2017,9.67741935483871
62799,Sorrus,602,92,510,14,0,496,2017,15.282392026578073
62800,Souastre,286,45,241,6,1,234,2017,15.734265734265735
62801,Souchez,2122,336,1786,37,14,1735,2017,15.83411875589067
62802,Le Souich,126,26,100,3,1,96,2017,20.634920634920633
62803,Surques,435,74,361,14,3,344,2017,17.011494252873565
62804,Sus-Saint-Léger,242,32,210,5,1,204,2017,13.223140495867769
62805,Tangry,192,28,164,4,2,158,2017,14.583333333333334
62806,Tardinghen,151,20,131,0,0,131,2017,13.245033112582782
62808,Teneur,196,19,177,7,2,168,2017,9.693877551020408
62809,Ternas,112,15,97,0,1,96,2017,13.392857142857142
62810,Thélus,1027,146,881,18,6,857,2017,14.216163583252191
62811,Thérouanne,912,141,771,16,5,750,2017,15.460526315789474
62812,Thiembronne,602,81,521,9,2,510,2017,13.455149501661129
62813,La Thieuloye,361,52,309,6,2,301,2017,14.40443213296399
62814,Thièvres,93,9,84,0,0,84,2017,9.67741935483871
62815,Tigny-Noyelle,140,12,128,2,1,125,2017,8.571428571428571
