"code_commune","commune","annee","inscrits","abstentions","votants","blancs","nuls","exprimes","taux_abstention","population","part_jeunes","part_seniors","indice_jeunesse","emploi_total","emploi_moins_25","emploi_25_49","emploi_50_plus","creations_total","creations_industrie","creations_construction","creations_commerce_transport","creations_info_com","creations_finance","creations_immo","creations_services_admin","creations_adm_sante_social","creations_autres_services","nombre_infractions_total","taux_infractions_moyen"
"62029","Amettes",2017,354,42,312,2,2,308,"11.864406779661017",475,"29.894736842105264","32.21052631578947","0.9281045751633987","35","10","20","10","7","3","0","1","0","0","0","2","0","1","9","1.3428654000000002"
"62030","Amplier",2017,224,29,195,2,3,190,"12.946428571428573",302,"31.33333333333334","27.33333333333332","1.146341463414635","20","0","15","0","0","0","0","0","0","0","0","0","0","0","4","0.96401426"
"62031","Andres",2017,1169,255,914,21,10,883,"21.813515825491873",1564,"39.28442490154936","18.85123855727532","2.083917445646466","135","25","75","35","5","0","0","2","0","0","1","0","2","0","35","1.5218721866666667"
"62032","Angres",2017,3303,529,2774,53,22,2699,"16.015743263699665",4526,"36.62359397233535","24.729446944124554","1.4809710081703513","430","75","270","85","28","1","3","12","1","0","0","5","3","3","177","3.2133061733333337"
"62033","Annay",2017,3132,565,2567,41,29,2497,"18.039591315453386",4337,"35.937856979666435","24.354580763079724","1.4756097560975612","390","55","255","85","22","1","6","10","0","1","0","0","1","3","166","2.808621286666667"
"62034","Annequin",2017,1745,338,1407,32,0,1375,"19.369627507163322",2201,"38.605962409668784","20.187913877614747","1.9123304489859543","225","45","130","50","11","1","2","1","1","0","0","3","2","1","51","1.577459053333333"
"62035","Annezin",2017,4539,966,3573,67,30,3476,"21.28222075346993",5898,"36.28348592743303","25.059342149881314","1.4479025710419486","520","90","320","110","25","1","7","5","0","2","0","4","3","3","177","2.15437388"
"62036","Anvin",2017,607,118,489,15,4,470,"19.43986820428336",772,"37.52300679824995","24.205150194486738","1.5502075590010862","75","10","45","25","5","0","0","5","0","0","0","0","0","0","19","1.5218721866666667"
"62037","Anzin-Saint-Aubin",2017,2394,334,2060,22,12,2026,"13.951545530492899",2742,"29.20969127982305","28.845882782769632","1.0126121464124762","145","10","100","35","31","1","1","8","0","3","2","7","6","3","63","1.5265079133333335"
"62038","Ardres",2017,3322,666,2656,51,24,2581,"20.048163756773025",4405,"34.56039208698311","25.51133461525114","1.3547073333561417","390","60","240","95","28","2","3","9","1","1","0","4","4","4","157","2.3850150466666666"
"62039","Arleux-En-Gohelle",2017,714,104,610,15,1,594,"14.565826330532214",856,"34.007861724364055","20.343078962738197","1.671716547266775","50","5","30","15","7","0","1","0","0","1","0","2","1","2","20","1.5434105666666667"
"62040","Arques",2017,7256,1735,5521,87,50,5384,"23.91124586549063",9753,"35.84295399280122","24.278113875212878","1.4763483760324414","1060","185","640","230","41","1","3","19","0","2","2","6","3","5","341","2.4943685466666667"
"62041","Arras",2017,26318,6269,20049,337,170,19542,"23.820199103275325",41019,"41.76287436190609","21.743673969798003","1.9206907912579443","5210","750","3435","1025","402","8","29","138","15","22","8","77","66","39","3352","5.5528669666666675"
"62042","Athies",2017,789,135,654,26,0,628,"17.110266159695815",1014,"34.81624758220503","22.727272727272677","1.5319148936170248","85","15","50","25","7","0","0","4","0","0","1","1","0","1","20","1.3815210533333333"
"62043","Les Attaques",2017,1416,247,1169,15,10,1144,"17.443502824858754",1978,"33.61546740426672","24.351902383556034","1.3804041620570078","165","25","100","45","14","3","0","6","0","1","0","2","2","0","47","1.8404457066666668"
"62044","Attin",2017,602,122,480,2,13,465,"20.26578073089701",729,"38.53914079266963","21.28921270000605","1.8102661350486986","60","10","35","10","6","1","0","3","0","0","0","2","0","0","24","2.207487873333333"
"62045","Aubigny-En-Artois",2017,1056,173,883,19,10,854,"16.382575757575758",1459,"33.79827642052564","27.59588301984778","1.224757924804106","95","20","50","25","8","0","3","1","0","0","1","0","3","0","45","2.01147826"
"62046","Aubin-Saint-Vaast",2017,569,130,439,12,5,422,"22.847100175746924",759,"32.34605954890782","26.23119049292194","1.2331144313726774","65","10","35","15","7","2","1","2","0","0","0","0","0","2","27","2.28359268"
"62047","Aubrometz",2017,125,17,108,2,0,106,"13.600000000000001",152,"37.086092715231715","27.814569536423818","1.3333333333333317","10","5","5","0","0","0","0","0","0","0","0","0","0","0","2","0.8136962600000001"
"62048","Auchel",2017,7802,2568,5234,67,45,5122,"32.91463727249423",10291,"39.579259384255174","24.555936449275794","1.6118000413469242","1165","230","720","215","32","2","7","14","1","1","0","1","3","3","423","2.852010339999999"
"62049","Auchy-Au-Bois",2017,372,44,328,0,8,320,"11.827956989247312",504,"38.30188679245288","24.33962264150943","1.5736434108527155","25","0","15","5","2","1","0","0","0","0","0","0","0","1","9","1.24952648"
"62050","Auchy-Lès-Hesdin",2017,1204,282,922,27,10,885,"23.421926910299003",1571,"31.570877041689048","34.44797707228876","0.9164798552738775","165","45","85","40","11","1","1","4","0","0","0","2","3","0","58","2.4786683666666667"
"62051","Auchy-Les-Mines",2017,3724,824,2900,80,32,2788,"22.12674543501611",4726,"39.59818874251932","19.564428519947512","2.023989032040766","420","75","260","85","30","4","3","8","0","1","0","4","5","5","150","2.2230489799999997"
"62052","Audembert",2017,349,50,299,8,1,290,"14.326647564469914",432,"35.648148148148145","19.444444444444446","1.8333333333333333","30","10","15","10","3","1","0","1","0","0","1","0","0","0","7","0.9989968933333333"
"62053","Audincthun",2017,528,85,443,5,2,436,"16.098484848484848",664,"36.89759036144578","21.385542168674696","1.7253521126760563","50","5","40","5","5","1","0","3","0","0","0","1","0","0","15","1.4244329866666667"
"62054","Audinghen",2017,458,63,395,5,1,389,"13.755458515283841",582,"33.67346938775512","24.999999999999968","1.3469387755102065","35","5","20","5","4","0","0","3","0","0","0","0","0","1","13","1.3705206333333335"
"62055","Audrehem",2017,398,73,325,4,2,319,"18.341708542713565",562,"38.93984569094557","18.394413084902094","2.116938741737126","35","5","25","10","5","1","0","0","0","0","1","1","2","0","8","0.80015148"
"62056","Audresselles",2017,648,141,507,13,1,493,"21.75925925925926",649,"32.38993710691823","33.33333333333329","0.9716981132075481","65","15","30","15","4","0","0","2","1","0","0","1","0","0","19","1.8645995866666665"
"62057","Audruicq",2017,3894,676,3218,66,31,3121,"17.360041088854647",5412,"37.82335550628233","24.27937915742794","1.5578386605783867","470","90","270","110","22","1","4","5","0","0","0","2","6","4","183","2.3218925533333334"
"62058","Aumerval",2017,164,14,150,1,3,146,"8.536585365853659",198,"34.5","21.5","1.6046511627906976","10","0","5","0","2","0","0","1","0","0","0","0","1","0","1","0.48441994000000005"
"62059","Autingues",2017,237,35,202,3,0,199,"14.767932489451477",291,"34.694579329524295","30.967003747446537","1.120372497529249","10","5","5","5","3","0","1","0","0","0","0","1","1","0","5","1.2804088333333334"
"62060","Auxi-Le-Château",2017,2100,470,1630,19,24,1587,"22.380952380952383",2639,"31.794352109118673","35.01203334175238","0.9080978473536248","290","50","155","80","22","2","2","9","0","0","0","2","5","2","102","2.584842426666667"
"62061","Averdoingt",2017,212,27,185,4,0,181,"12.735849056603774",293,"32.99319727891154","23.469387755102016","1.4057971014492756","20","0","15","5","3","0","2","1","0","0","0","0","0","0","4","0.87818254"
"62062","Avesnes",2017,36,3,33,1,0,32,"8.333333333333332",52,"36.53846153846153","21.153846153846153","1.7272727272727273","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0.5052883666666667"
"62063","Avesnes-Le-Comte",2017,1481,312,1169,17,11,1141,"21.066846725185687",1902,"35.7809280226312","26.277577746024317","1.3616524463730186","160","25","95","35","13","1","1","6","1","0","0","2","2","0","68","2.3254070666666666"
"62064","Avesnes-Lès-Bapaume",2017,137,27,110,1,0,109,"19.708029197080293",162,"29.090909090909133","35.75757575757577","0.8135593220338991","10","0","5","5","0","0","0","0","0","0","0","0","0","0","2","0.9871947000000001"
"62065","Avion",2017,12361,3143,9218,163,88,8967,"25.4267454089475",17622,"40.6627844291653","21.714466359657106","1.8726126516611947","2025","355","1255","415","59","2","12","23","1","2","0","6","10","3","657","2.6636216133333335"
"62066","Avondance",2017,37,10,27,1,0,26,"27.027027027027028",38,"31.428571428571473","22.85714285714289","1.375","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0.6885407133333333"
"62067","Avroult",2017,463,53,410,9,3,398,"11.447084233261338",607,"38.506473371382995","19.4251635968444","1.9822985366073491","50","10","30","10","1","0","0","1","0","0","0","0","0","0","11","1.2097894466666665"
"62068","Ayette",2017,286,47,239,5,3,231,"16.433566433566433",324,"31.790123456790127","24.691358024691358","1.2875","20","5","10","5","0","0","0","0","0","0","0","0","0","0","5","1.1172859466666667"
"62069","Azincourt",2017,227,24,203,5,1,197,"10.572687224669604",307,"37.007048526277494","25.72017991454342","1.4388331904844855","20","0","15","0","5","2","0","2","0","0","0","0","0","1","5","1.2730814333333336"
"62070","Bailleul-Aux-Cornailles",2017,195,37,158,0,2,156,"18.974358974358974",263,"34.74903474903477","23.938223938223945","1.451612903225807","25","0","15","10","2","0","2","0","0","0","0","0","0","0","2","0.9735920266666667"
"62071","Bailleul-Lès-Pernes",2017,308,33,275,1,13,261,"10.714285714285714",422,"36.04938271604938","22.962962962962976","1.5698924731182784","25","5","15","5","3","0","0","2","0","0","0","1","0","0","8","1.0065040933333333"
"62072","Bailleulmont",2017,199,29,170,2,1,167,"14.572864321608039",240,"27.077597371252914","35.29215288255373","0.7672413032257496","10","0","5","5","0","0","0","0","0","0","0","0","0","0","4","1.04256628"
